name,PSNR,SSIM
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_15_11_Focus_0_6.213.PNG'], 32.46, 0.8514
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_8_17_Focus_0_2.396.PNG'], 35.61, 0.9231
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_14_6_Focus_0_-8.613.PNG'], 30.31, 0.8089
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_10_14_Vibration_5_0.0.PNG'], 37.41, 0.9386
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_1_0_Both_0_8.692.PNG'], 35.10, 0.8967
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_30_18_Vibration_3_0.0.PNG'], 38.78, 0.9508
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_0_Vibration_2_0.0.PNG'], 39.85, 0.9430
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_24_11_Vibration_5_0.0.PNG'], 34.24, 0.8868
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_17_3_Both_8_1.313.PNG'], 34.66, 0.8956
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_26_4_Vibration_7_0.0.PNG'], 40.52, 0.9564
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_22_0_Both_7_-2.648.PNG'], 35.49, 0.9008
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_22_7_Both_8_4.298.PNG'], 32.36, 0.8611
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_13_10_Vibration_6_0.0.PNG'], 39.79, 0.9566
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_27_13_Both_1_-11.17.PNG'], 29.16, 0.7767
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_13_5_Both_9_2.177.PNG'], 33.47, 0.8773
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_11_Both_9_10.399.PNG'], 29.12, 0.8222
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_12_Vibration_1_0.0.PNG'], 39.97, 0.9595
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_0_4_Focus_0_-8.605.PNG'], 34.37, 0.8879
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_0_10_Both_2_-3.721.PNG'], 37.45, 0.9240
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_26_4_Both_5_0.718.PNG'], 42.59, 0.9627
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_17_18_Focus_0_1.798.PNG'], 38.18, 0.9400
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_10_Focus_0_2.762.PNG'], 35.36, 0.9149
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_22_0_Focus_0_2.864.PNG'], 38.57, 0.9356
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_29_15_Both_3_-5.15.PNG'], 32.86, 0.8642
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_22_11_Both_3_-10.54.PNG'], 29.37, 0.7856
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_17_20_Vibration_2_0.0.PNG'], 41.87, 0.9622
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_12_3_Both_7_1.273.PNG'], 32.86, 0.8670
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_22_11_Focus_0_-10.71.PNG'], 29.35, 0.7863
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_12_Both_9_8.724.PNG'], 29.86, 0.7945
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_17_19_Both_7_-6.073.PNG'], 31.77, 0.8360
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_1_16_Both_2_10.111.PNG'], 30.08, 0.8869
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_11_Focus_0_8.374.PNG'], 30.83, 0.8532
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_10_14_Focus_0_6.616.PNG'], 31.93, 0.8421
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_5_9_Focus_0_-2.456.PNG'], 35.85, 0.9246
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_10_11_Focus_0_13.181.PNG'], 29.54, 0.8056
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_11_19_Focus_0_-0.241.PNG'], 40.86, 0.9689
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_12_Focus_0_5.542.PNG'], 32.30, 0.8511
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_18_Focus_0_11.556.PNG'], 30.18, 0.8045
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_13_Vibration_4_0.0.PNG'], 36.56, 0.9270
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_18_Both_4_2.699.PNG'], 33.96, 0.8924
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_29_7_Vibration_4_0.0.PNG'], 24.66, 0.9396
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_30_18_Focus_0_0.796.PNG'], 39.58, 0.9625
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_8_17_Both_4_-5.437.PNG'], 32.14, 0.8552
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_10_11_Vibration_2_0.0.PNG'], 38.70, 0.9506
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_18_Vibration_4_0.0.PNG'], 36.97, 0.9309
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_25_4_Both_5_-3.68.PNG'], 40.28, 0.9530
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_22_17_Both_9_-2.936.PNG'], 32.42, 0.8617
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_13_13_Both_2_12.497.PNG'], 29.40, 0.7966
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_18_Vibration_7_0.0.PNG'], 33.29, 0.8789
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_12_18_Focus_0_13.401.PNG'], 30.58, 0.8186
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_25_4_Both_3_5.086.PNG'], 39.34, 0.9481
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_10_1_Vibration_6_0.0.PNG'], 42.64, 0.9602
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_17_20_Both_9_6.199.PNG'], 33.04, 0.8583
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_18_1_Focus_0_3.451.PNG'], 39.81, 0.9521
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_26_4_Both_2_-1.186.PNG'], 42.55, 0.9628
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_17_19_Vibration_5_0.0.PNG'], 34.84, 0.8866
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_12_3_ZStack_0_3997.503.PNG'], 38.85, 0.9564
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_5_9_Both_2_-2.192.PNG'], 35.51, 0.9166
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_8_Vibration_4_0.0.PNG'], 38.01, 0.9438
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_12_18_Focus_0_1.629.PNG'], 37.20, 0.9370
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_18_Both_9_12.478.PNG'], 29.20, 0.7768
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_15_17_Focus_0_6.293.PNG'], 34.49, 0.8932
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_1_0_Vibration_4_0.0.PNG'], 38.77, 0.9308
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_10_1_Both_6_12.753.PNG'], 38.21, 0.9442
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_27_13_Both_5_2.387.PNG'], 34.79, 0.9055
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_0_Focus_0_3.567.PNG'], 38.60, 0.9321
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_2_1_Focus_0_-5.814.PNG'], 36.63, 0.9131
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_0_9_Focus_0_4.109.PNG'], 36.91, 0.9177
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_25_4_Focus_0_10.998.PNG'], 37.56, 0.9432
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_15_17_Vibration_7_0.0.PNG'], 36.45, 0.9153
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_19_5_Both_1_-6.346.PNG'], 32.50, 0.8504
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_14_8_Focus_0_-2.644.PNG'], 35.86, 0.9300
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_19_16_Focus_0_0.291.PNG'], 40.89, 0.9672
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_13_4_Focus_0_13.163.PNG'], 29.35, 0.7903
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_17_19_Both_3_3.709.PNG'], 35.90, 0.9048
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_11_6_Focus_0_9.27.PNG'], 31.20, 0.8333
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_25_15_Focus_0_-13.501.PNG'], 28.02, 0.7512
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_17_18_ZStack_0_4041.777.PNG'], 40.51, 0.9624
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_14_Both_6_-7.795.PNG'], 30.44, 0.8050
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_10_Vibration_5_0.0.PNG'], 33.57, 0.8779
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_0_Vibration_9_0.0.PNG'], 38.02, 0.9241
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_19_5_Focus_0_-5.463.PNG'], 32.95, 0.8607
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_1_16_Focus_0_-12.126.PNG'], 29.32, 0.8702
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_17_20_Both_1_7.135.PNG'], 33.17, 0.8655
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_16_1_Focus_0_-7.127.PNG'], 33.92, 0.9130
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_22_0_Vibration_2_0.0.PNG'], 40.74, 0.9517
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_12_4_ZStack_0_4001.494.PNG'], 39.03, 0.9582
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_8_Focus_0_-11.795.PNG'], 28.60, 0.7706
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_12_3_Focus_0_-5.846.PNG'], 32.58, 0.8564
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_18_1_ZStack_0_3986.438.PNG'], 42.26, 0.9654
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_0_4_Focus_0_11.268.PNG'], 34.04, 0.8880
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_10_14_Both_9_-0.376.PNG'], 35.41, 0.9096
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_12_4_Vibration_8_0.0.PNG'], 35.19, 0.9048
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_22_11_Focus_0_5.646.PNG'], 32.45, 0.8524
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_3_6_Vibration_7_0.0.PNG'], 41.33, 0.9536
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_10_14_Focus_0_8.264.PNG'], 31.51, 0.8354
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_11_6_Vibration_4_0.0.PNG'], 35.88, 0.9172
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_0_10_Both_1_2.001.PNG'], 38.91, 0.9391
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_12_18_Both_4_2.711.PNG'], 35.17, 0.9064
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_8_17_Both_2_7.714.PNG'], 31.06, 0.8236
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_8_10_Focus_0_-11.121.PNG'], 29.15, 0.7866
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_17_19_Focus_0_2.517.PNG'], 37.68, 0.9308
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_17_19_Both_7_2.406.PNG'], 33.60, 0.8686
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_22_0_Both_6_12.488.PNG'], 33.42, 0.8783
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_0_10_Focus_0_-4.975.PNG'], 36.80, 0.9155
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_28_3_Both_1_7.26.PNG'], 33.76, 0.8760
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_3_21_Both_2_-5.703.PNG'], 31.82, 0.8460
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_29_7_Vibration_1_0.0.PNG'], 24.80, 0.9567
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_2_1_Both_8_12.441.PNG'], 33.98, 0.8861
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_17_3_Focus_0_10.746.PNG'], 30.90, 0.8240
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_0_4_Both_5_2.057.PNG'], 38.53, 0.9325
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_10_1_Focus_0_2.305.PNG'], 41.16, 0.9557
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_13_13_Focus_0_8.186.PNG'], 31.37, 0.8368
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_14_6_Both_5_11.92.PNG'], 28.58, 0.7666
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_6_13_Vibration_1_0.0.PNG'], 37.22, 0.9366
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_22_7_Focus_0_-11.459.PNG'], 29.25, 0.7908
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_10_Focus_0_12.95.PNG'], 29.46, 0.7871
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_1_16_Vibration_6_0.0.PNG'], 33.35, 0.9634
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_1_16_Focus_0_1.339.PNG'], 32.92, 0.9539
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_14_Both_7_-6.133.PNG'], 30.43, 0.8040
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_1_0_Both_5_-3.388.PNG'], 36.60, 0.9122
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_6_13_Both_4_-6.209.PNG'], 32.44, 0.8571
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_15_11_Both_8_10.276.PNG'], 30.00, 0.8008
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_3_6_Both_5_-0.396.PNG'], 42.61, 0.9596
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_15_17_Both_9_1.659.PNG'], 36.88, 0.9160
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_30_17_Focus_0_-0.219.PNG'], 40.52, 0.9675
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_30_17_Vibration_5_0.0.PNG'], 35.16, 0.9115
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_8_10_Both_3_-4.611.PNG'], 33.97, 0.8909
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_30_18_Vibration_5_0.0.PNG'], 35.09, 0.9094
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_25_4_Both_2_-0.547.PNG'], 42.63, 0.9616
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_8_17_Focus_0_12.247.PNG'], 29.74, 0.7954
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_27_13_Both_8_13.391.PNG'], 29.14, 0.7747
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_26_3_Vibration_1_0.0.PNG'], 41.51, 0.9601
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_10_1_Focus_0_10.725.PNG'], 38.55, 0.9452
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_12_Focus_0_10.832.PNG'], 30.23, 0.8102
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_16_Focus_0_-13.386.PNG'], 28.31, 0.7622
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_12_18_Focus_0_12.996.PNG'], 30.73, 0.8212
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_24_11_Focus_0_2.42.PNG'], 36.02, 0.9270
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_13_13_Vibration_7_0.0.PNG'], 33.04, 0.8780
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_8_6_Vibration_7_0.0.PNG'], 33.32, 0.8736
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_2_1_Vibration_4_0.0.PNG'], 38.14, 0.9256
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_12_Both_8_-6.943.PNG'], 30.59, 0.8108
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_10_14_Vibration_9_0.0.PNG'], 35.35, 0.9084
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_22_17_ZStack_0_4036.802.PNG'], 39.47, 0.9630
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_13_10_Vibration_8_0.0.PNG'], 35.64, 0.9133
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_10_1_Both_2_-5.235.PNG'], 39.91, 0.9491
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_15_17_Vibration_3_0.0.PNG'], 40.86, 0.9538
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_8_10_Both_9_10.605.PNG'], 29.54, 0.7927
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_10_14_Vibration_7_0.0.PNG'], 33.06, 0.8717
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_28_3_Focus_0_-3.146.PNG'], 37.38, 0.9295
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_8_17_Focus_0_0.373.PNG'], 40.78, 0.9689
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_27_13_Vibration_9_0.0.PNG'], 35.33, 0.9040
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_10_Focus_0_5.437.PNG'], 32.53, 0.8549
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_30_18_Focus_0_-0.96.PNG'], 39.11, 0.9618
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_17_18_Focus_0_-5.361.PNG'], 33.70, 0.8721
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_14_8_Both_8_-3.259.PNG'], 32.81, 0.8680
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_16_1_Both_4_-2.29.PNG'], 37.52, 0.9399
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_12_4_Vibration_9_0.0.PNG'], 35.17, 0.9055
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_22_11_Vibration_9_0.0.PNG'], 35.10, 0.8993
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_10_Both_0_10.812.PNG'], 30.56, 0.8188
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_14_6_Vibration_3_0.0.PNG'], 39.39, 0.9535
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_15_11_Focus_0_2.001.PNG'], 37.03, 0.9392
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_0_4_Focus_0_9.898.PNG'], 34.36, 0.8910
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_3_6_Both_1_10.417.PNG'], 39.73, 0.9470
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_13_4_Vibration_9_0.0.PNG'], 34.74, 0.8984
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_3_21_Vibration_8_0.0.PNG'], 35.60, 0.9105
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_8_10_Focus_0_2.661.PNG'], 35.49, 0.9198
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_19_16_Both_5_4.904.PNG'], 31.39, 0.8541
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_1_16_Vibration_2_0.0.PNG'], 33.26, 0.9590
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_22_7_Vibration_7_0.0.PNG'], 33.87, 0.8873
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_25_4_Both_6_7.282.PNG'], 37.56, 0.9436
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_16_1_Focus_0_5.482.PNG'], 34.29, 0.9130
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_3_21_Vibration_4_0.0.PNG'], 38.29, 0.9481
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_24_13_Vibration_8_0.0.PNG'], 35.42, 0.9077
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_17_3_Vibration_7_0.0.PNG'], 33.60, 0.8766
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_22_7_Focus_0_-11.884.PNG'], 29.07, 0.7879
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_18_Vibration_3_0.0.PNG'], 38.95, 0.9502
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_25_4_Both_9_7.087.PNG'], 37.53, 0.9432
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_15_11_Both_0_-5.617.PNG'], 32.93, 0.8643
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_11_Vibration_5_0.0.PNG'], 34.37, 0.8978
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_24_11_Focus_0_-1.654.PNG'], 36.80, 0.9417
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_12_18_Both_7_-4.397.PNG'], 31.12, 0.8279
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_0_Focus_0_-4.062.PNG'], 37.55, 0.9221
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_24_11_Vibration_7_0.0.PNG'], 32.51, 0.8688
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_0_10_ZStack_0_4040.595.PNG'], 41.89, 0.9630
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_25_4_Vibration_3_0.0.PNG'], 42.99, 0.9628
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_13_10_Vibration_7_0.0.PNG'], 33.42, 0.8816
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_10_Focus_0_3.1.PNG'], 35.47, 0.9162
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_25_4_Vibration_1_0.0.PNG'], 43.06, 0.9633
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_25_4_Focus_0_-2.205.PNG'], 41.59, 0.9610
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_5_18_Focus_0_-6.247.PNG'], 32.05, 0.8495
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_26_4_Focus_0_5.529.PNG'], 38.78, 0.9507
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_13_5_Focus_0_-1.169.PNG'], 37.59, 0.9505
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_1_0_Vibration_3_0.0.PNG'], 40.37, 0.9502
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_7_14_Focus_0_3.954.PNG'], 33.97, 0.8863
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_15_11_Both_9_-11.506.PNG'], 28.76, 0.7728
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_28_3_Both_1_-4.173.PNG'], 36.08, 0.9102
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_28_3_Both_0_-7.871.PNG'], 33.45, 0.8711
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_13_4_Both_6_8.415.PNG'], 30.85, 0.8177
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_10_11_Both_6_1.918.PNG'], 35.70, 0.9275
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_16_Vibration_8_0.0.PNG'], 36.00, 0.9142
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_3_6_Focus_0_-6.629.PNG'], 40.50, 0.9498
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_0_10_Vibration_1_0.0.PNG'], 41.87, 0.9597
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_22_7_Focus_0_-12.905.PNG'], 28.66, 0.7816
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_13_10_Vibration_4_0.0.PNG'], 37.49, 0.9361
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_13_5_Both_1_11.78.PNG'], 29.47, 0.7939
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_16_Both_0_-13.164.PNG'], 28.33, 0.7629
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_24_13_Both_5_6.322.PNG'], 31.63, 0.8447
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_13_5_ZStack_0_4005.495.PNG'], 39.49, 0.9620
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_8_10_Focus_0_-7.329.PNG'], 31.32, 0.8318
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_25_15_Both_6_-6.229.PNG'], 31.75, 0.8379
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_11_6_Vibration_5_0.0.PNG'], 36.74, 0.9286
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_19_16_Both_6_-10.879.PNG'], 29.14, 0.7791
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_12_ZStack_0_4024.096.PNG'], 39.62, 0.9627
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_30_18_Focus_0_-4.174.PNG'], 32.81, 0.8881
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_1_0_Both_9_11.44.PNG'], 34.14, 0.8866
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_26_3_Both_5_4.904.PNG'], 35.29, 0.8997
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_18_1_Both_6_-2.535.PNG'], 40.49, 0.9560
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_17_19_Both_6_12.808.PNG'], 31.24, 0.8360
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_13_5_Both_9_8.1.PNG'], 29.51, 0.7884
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_5_9_Both_5_12.283.PNG'], 28.71, 0.7614
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_14_6_Both_6_-5.338.PNG'], 32.90, 0.8663
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_30_17_Vibration_9_0.0.PNG'], 35.16, 0.9105
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_18_Focus_0_5.149.PNG'], 32.42, 0.8507
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_22_7_Both_8_-3.239.PNG'], 33.29, 0.8828
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_2_1_Both_7_3.282.PNG'], 35.17, 0.8951
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_22_17_Focus_0_5.657.PNG'], 31.32, 0.8296
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_13_13_Focus_0_0.512.PNG'], 38.36, 0.9550
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_16_1_Focus_0_9.793.PNG'], 32.88, 0.9066
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_0_10_Both_1_7.646.PNG'], 35.12, 0.8944
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_12_18_Both_1_-6.294.PNG'], 32.74, 0.8571
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_0_10_Both_6_3.049.PNG'], 38.22, 0.9300
