name,PSNR,SSIM
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_15_17_Vibration_5_0.0.PNG'], 37.15, 0.9209
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_10_1_ZStack_0_3997.158.PNG'], 43.01, 0.9640
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_13_Focus_0_-8.013.PNG'], 30.51, 0.8120
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_28_3_Vibration_3_0.0.PNG'], 40.97, 0.9557
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_12_Focus_0_8.125.PNG'], 31.17, 0.8306
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_17_18_Both_5_-7.501.PNG'], 32.24, 0.8513
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_12_Focus_0_11.97.PNG'], 29.86, 0.8009
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_26_3_Focus_0_-2.102.PNG'], 39.14, 0.9473
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_10_Focus_0_11.838.PNG'], 30.12, 0.8112
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_14_Focus_0_-8.749.PNG'], 29.96, 0.7965
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_26_3_Focus_0_3.952.PNG'], 36.80, 0.9188
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_16_1_Vibration_8_0.0.PNG'], 37.17, 0.9334
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_1_0_Vibration_9_0.0.PNG'], 37.99, 0.9258
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_0_10_Vibration_5_0.0.PNG'], 36.63, 0.9099
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_15_17_Both_7_-12.984.PNG'], 31.09, 0.8585
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_7_14_ZStack_0_4045.927.PNG'], 39.20, 0.9604
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_8_Both_5_12.9.PNG'], 27.06, 0.7292
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_13_10_Focus_0_7.266.PNG'], 31.42, 0.8435
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_0_4_Both_7_12.531.PNG'], 32.89, 0.8734
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_18_1_Focus_0_1.179.PNG'], 42.48, 0.9642
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_13_5_Both_9_-6.976.PNG'], 30.24, 0.8004
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_16_1_ZStack_0_3988.965.PNG'], 41.15, 0.9629
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_17_20_Focus_0_-3.784.PNG'], 36.36, 0.9138
